Serial,Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed,Total_Confirmed_cases_Indian_National,Total_Confirmed_cases_Foreign_National
1800,10-05-2020,8:00 AM,Tripura,2,0,134,134,0
1801,10-05-2020,8:00 AM,Uttarakhand,46,1,67,58,9
1802,10-05-2020,8:00 AM,Uttar Pradesh,1499,74,3373,3364,9
1803,10-05-2020,8:00 AM,West Bengal,372,171,1786,1786,0
1804,11-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
1805,11-05-2020,8:00 AM,Andhra Pradesh,925,45,1980,1980,0
1806,11-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
1807,11-05-2020,8:00 AM,Assam,34,2,63,63,0
1808,11-05-2020,8:00 AM,Bihar,365,6,696,696,0
1809,11-05-2020,8:00 AM,Chandigarh,24,2,169,169,0
1810,11-05-2020,8:00 AM,Chhattisgarh,49,0,59,59,0
1811,11-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
1812,11-05-2020,8:00 AM,Delhi,2069,73,6923,6909,14
1813,11-05-2020,8:00 AM,Goa,7,0,7,3,4
1814,11-05-2020,8:00 AM,Gujarat,2545,493,8194,8185,9
1815,11-05-2020,8:00 AM,Haryana,300,10,703,687,16
1816,11-05-2020,8:00 AM,Himachal Pradesh,39,2,55,55,0
1817,11-05-2020,8:00 AM,Jammu and Kashmir,383,9,861,861,0
1818,11-05-2020,8:00 AM,Jharkhand,78,3,157,157,0
1819,11-05-2020,8:00 AM,Karnataka,424,31,848,848,0
1820,11-05-2020,8:00 AM,Kerala,489,4,512,502,10
1821,11-05-2020,8:00 AM,Ladakh,21,0,42,42,0
1822,11-05-2020,8:00 AM,Madhya Pradesh,1676,215,3614,3614,0
1823,11-05-2020,8:00 AM,Maharashtra,4199,832,22171,22161,10
1824,11-05-2020,8:00 AM,Manipur,2,0,2,2,0
1825,11-05-2020,8:00 AM,Meghalaya,10,1,13,13,0
1826,11-05-2020,8:00 AM,Mizoram,1,0,1,1,0
1827,11-05-2020,8:00 AM,Odisha,68,3,377,377,0
1828,11-05-2020,8:00 AM,Puducherry,6,0,9,9,0
1829,11-05-2020,8:00 AM,Punjab,166,31,1823,1823,0
1830,11-05-2020,8:00 AM,Rajasthan,2176,107,3814,3805,9
1831,11-05-2020,8:00 AM,Tamil Nadu,1959,47,7204,7195,9
1832,11-05-2020,8:00 AM,Telengana,750,30,1196,1184,12
1833,11-05-2020,8:00 AM,Tripura,2,0,150,150,0
1834,11-05-2020,8:00 AM,Uttarakhand,46,1,68,59,9
1835,11-05-2020,8:00 AM,Uttar Pradesh,1653,74,3467,3458,9
1836,11-05-2020,8:00 AM,West Bengal,417,185,1939,1939,0
1837,12-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
1838,12-05-2020,8:00 AM,Andhra Pradesh,975,45,2018,2018,0
1839,12-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
1840,12-05-2020,8:00 AM,Assam,34,2,65,65,0
1841,12-05-2020,8:00 AM,Bihar,377,6,747,747,0
1842,12-05-2020,8:00 AM,Chandigarh,24,2,174,174,0
1843,12-05-2020,8:00 AM,Chhattisgarh,53,0,59,59,0
1844,12-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
1845,12-05-2020,8:00 AM,Delhi,2129,73,7233,7219,14
1846,12-05-2020,8:00 AM,Goa,7,0,7,3,4
1847,12-05-2020,8:00 AM,Gujarat,2780,513,8541,8532,9
1848,12-05-2020,8:00 AM,Haryana,337,11,730,714,16
1849,12-05-2020,8:00 AM,Himachal Pradesh,39,2,59,59,0
1850,12-05-2020,8:00 AM,Jammu and Kashmir,427,10,879,879,0
1851,12-05-2020,8:00 AM,Jharkhand,78,3,160,160,0
1852,12-05-2020,8:00 AM,Karnataka,426,31,862,862,0
1853,12-05-2020,8:00 AM,Kerala,489,4,519,509,10
1854,12-05-2020,8:00 AM,Ladakh,21,0,42,42,0
1855,12-05-2020,8:00 AM,Madhya Pradesh,1747,221,3785,3785,0
1856,12-05-2020,8:00 AM,Maharashtra,4786,868,23401,23391,10
1857,12-05-2020,8:00 AM,Manipur,2,0,2,2,0
1858,12-05-2020,8:00 AM,Meghalaya,10,1,13,13,0
1859,12-05-2020,8:00 AM,Mizoram,1,0,1,1,0
1860,12-05-2020,8:00 AM,Odisha,85,3,414,414,0
1861,12-05-2020,8:00 AM,Puducherry,6,0,12,12,0
1862,12-05-2020,8:00 AM,Punjab,168,31,1877,1877,0
1863,12-05-2020,8:00 AM,Rajasthan,2264,113,3988,3979,9
1864,12-05-2020,8:00 AM,Tamil Nadu,2051,53,8002,7993,9
1865,12-05-2020,8:00 AM,Telengana,800,30,1275,1263,12
1866,12-05-2020,8:00 AM,Tripura,2,0,152,152,0
1867,12-05-2020,8:00 AM,Uttarakhand,46,1,68,59,9
1868,12-05-2020,8:00 AM,Uttar Pradesh,1758,80,3573,3564,9
1869,12-05-2020,8:00 AM,West Bengal,499,190,2063,2063,0
1870,13-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
1871,13-05-2020,8:00 AM,Andhra Pradesh,1056,46,2090,2090,0
1872,13-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
1873,13-05-2020,8:00 AM,Assam,39,2,65,65,0
1874,13-05-2020,8:00 AM,Bihar,383,6,831,831,0
1875,13-05-2020,8:00 AM,Chandigarh,28,3,187,187,0
1876,13-05-2020,8:00 AM,Chhattisgarh,54,0,59,59,0
1877,13-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
1878,13-05-2020,8:00 AM,Delhi,2512,86,7639,7625,14
1879,13-05-2020,8:00 AM,Goa,7,0,7,3,4
1880,13-05-2020,8:00 AM,Gujarat,3246,537,8903,8894,9
1881,13-05-2020,8:00 AM,Haryana,342,11,780,764,16
1882,13-05-2020,8:00 AM,Himachal Pradesh,39,2,65,65,0
1883,13-05-2020,8:00 AM,Jammu and Kashmir,455,10,934,934,0
1884,13-05-2020,8:00 AM,Jharkhand,79,3,172,172,0
1885,13-05-2020,8:00 AM,Karnataka,433,31,925,925,0
1886,13-05-2020,8:00 AM,Kerala,489,4,524,514,10
1887,13-05-2020,8:00 AM,Ladakh,21,0,42,42,0
1888,13-05-2020,8:00 AM,Madhya Pradesh,1860,225,3986,3986,0
1889,13-05-2020,8:00 AM,Maharashtra,5125,921,24427,24417,10
1890,13-05-2020,8:00 AM,Manipur,2,0,2,2,0
1891,13-05-2020,8:00 AM,Meghalaya,10,1,13,13,0
1892,13-05-2020,8:00 AM,Mizoram,1,0,1,1,0
1893,13-05-2020,8:00 AM,Odisha,116,3,437,437,0
1894,13-05-2020,8:00 AM,Puducherry,9,1,13,13,0
1895,13-05-2020,8:00 AM,Punjab,171,32,1914,1914,0
1896,13-05-2020,8:00 AM,Rajasthan,2378,117,4126,4117,9
1897,13-05-2020,8:00 AM,Tamil Nadu,2134,61,8718,8709,9
1898,13-05-2020,8:00 AM,Telengana,830,32,1326,1314,12
1899,13-05-2020,8:00 AM,Tripura,2,0,154,154,0
1900,13-05-2020,8:00 AM,Uttarakhand,46,1,69,60,9
1901,13-05-2020,8:00 AM,Uttar Pradesh,1873,82,3664,3655,9
1902,13-05-2020,8:00 AM,West Bengal,612,198,2173,2173,0
1903,14-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
1904,14-05-2020,8:00 AM,Andhra Pradesh,1142,47,2137,2137,0
1905,14-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
1906,14-05-2020,8:00 AM,Assam,39,2,80,80,0
1907,14-05-2020,8:00 AM,Bihar,388,7,940,940,0
1908,14-05-2020,8:00 AM,Chandigarh,28,3,187,187,0
1909,14-05-2020,8:00 AM,Chhattisgarh,55,0,59,59,0
1910,14-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
1911,14-05-2020,8:00 AM,Delhi,2858,106,7998,7984,14
1912,14-05-2020,8:00 AM,Goa,7,0,7,3,4
1913,14-05-2020,8:00 AM,Gujarat,3562,566,9267,9258,9
1914,14-05-2020,8:00 AM,Haryana,418,11,793,777,16
1915,14-05-2020,8:00 AM,Himachal Pradesh,39,2,66,66,0
1916,14-05-2020,8:00 AM,Jammu and Kashmir,466,11,971,971,0
1917,14-05-2020,8:00 AM,Jharkhand,79,3,173,173,0
1918,14-05-2020,8:00 AM,Karnataka,451,33,959,959,0
1919,14-05-2020,8:00 AM,Kerala,490,4,534,524,10
1920,14-05-2020,8:00 AM,Ladakh,22,0,43,43,0
1921,14-05-2020,8:00 AM,Madhya Pradesh,2004,232,4173,4173,0
1922,14-05-2020,8:00 AM,Maharashtra,5547,975,25922,25912,10
1923,14-05-2020,8:00 AM,Manipur,2,0,2,2,0
1924,14-05-2020,8:00 AM,Meghalaya,10,1,13,13,0
1925,14-05-2020,8:00 AM,Mizoram,1,0,1,1,0
1926,14-05-2020,8:00 AM,Odisha,143,3,538,538,0
1927,14-05-2020,8:00 AM,Puducherry,9,1,13,13,0
1928,14-05-2020,8:00 AM,Punjab,200,32,1924,1924,0
1929,14-05-2020,8:00 AM,Rajasthan,2459,121,4328,4319,9
1930,14-05-2020,8:00 AM,Tamil Nadu,2176,64,9227,9218,9
1931,14-05-2020,8:00 AM,Telengana,940,34,1367,1355,12
1932,14-05-2020,8:00 AM,Tripura,16,0,155,155,0
1933,14-05-2020,8:00 AM,Uttarakhand,46,1,72,63,9
1934,14-05-2020,8:00 AM,Uttar Pradesh,1902,83,3729,3720,9
1935,14-05-2020,8:00 AM,West Bengal,702,207,2290,2290,0
1936,15-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
1937,15-05-2020,8:00 AM,Andhra Pradesh,1192,48,2205,2205,0
1938,15-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
1939,15-05-2020,8:00 AM,Assam,39,2,87,87,0
1940,15-05-2020,8:00 AM,Bihar,411,7,994,994,0
1941,15-05-2020,8:00 AM,Chandigarh,37,3,191,191,0
1942,15-05-2020,8:00 AM,Chhattisgarh,56,0,60,60,0
1943,15-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
1944,15-05-2020,8:00 AM,Delhi,3045,115,8470,8456,14
1945,15-05-2020,8:00 AM,Goa,7,0,14,10,4
1946,15-05-2020,8:00 AM,Gujarat,3753,586,9591,9582,9
1947,15-05-2020,8:00 AM,Haryana,439,11,818,802,16
1948,15-05-2020,8:00 AM,Himachal Pradesh,39,2,74,74,0
1949,15-05-2020,8:00 AM,Jammu and Kashmir,485,11,983,983,0
1950,15-05-2020,8:00 AM,Jharkhand,87,3,197,197,0
1951,15-05-2020,8:00 AM,Karnataka,460,35,987,987,0
1952,15-05-2020,8:00 AM,Kerala,491,4,560,550,10
1953,15-05-2020,8:00 AM,Ladakh,22,0,43,43,0
1954,15-05-2020,8:00 AM,Madhya Pradesh,2171,237,4426,4426,0
1955,15-05-2020,8:00 AM,Maharashtra,6059,1019,27524,27514,10
1956,15-05-2020,8:00 AM,Manipur,2,0,3,3,0
1957,15-05-2020,8:00 AM,Meghalaya,11,1,13,13,0
1958,15-05-2020,8:00 AM,Mizoram,1,0,1,1,0
1959,15-05-2020,8:00 AM,Odisha,158,3,611,611,0
1960,15-05-2020,8:00 AM,Puducherry,9,1,13,13,0
1961,15-05-2020,8:00 AM,Punjab,223,32,1935,1935,0
1962,15-05-2020,8:00 AM,Rajasthan,2580,125,4534,4525,9
1963,15-05-2020,8:00 AM,Tamil Nadu,2240,66,9674,9665,9
1964,15-05-2020,8:00 AM,Telengana,950,34,1414,1402,12
1965,15-05-2020,8:00 AM,Tripura,29,0,156,156,0
1966,15-05-2020,8:00 AM,Uttarakhand,50,1,78,69,9
1967,15-05-2020,8:00 AM,Uttar Pradesh,2072,88,3902,3893,9
1968,15-05-2020,8:00 AM,West Bengal,768,215,2377,2377,0
1969,16-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
1970,16-05-2020,8:00 AM,Andhra Pradesh,1252,48,2307,2307,0
1971,16-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
1972,16-05-2020,8:00 AM,Assam,41,2,90,90,0
1973,16-05-2020,8:00 AM,Bihar,438,7,1018,1018,0
1974,16-05-2020,8:00 AM,Chandigarh,37,3,191,191,0
1975,16-05-2020,8:00 AM,Chhattisgarh,56,0,66,66,0
1976,16-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
1977,16-05-2020,8:00 AM,Delhi,3518,123,8895,8881,14
1978,16-05-2020,8:00 AM,Goa,7,0,15,11,4
1979,16-05-2020,8:00 AM,Gujarat,4035,606,9931,9922,9
1980,16-05-2020,8:00 AM,Haryana,439,11,818,802,16
1981,16-05-2020,8:00 AM,Himachal Pradesh,39,3,76,76,0
1982,16-05-2020,8:00 AM,Jammu and Kashmir,513,11,1013,1013,0
1983,16-05-2020,8:00 AM,Jharkhand,87,3,203,203,0
1984,16-05-2020,8:00 AM,Karnataka,480,36,1056,1056,0
1985,16-05-2020,8:00 AM,Kerala,492,4,576,566,10
1986,16-05-2020,8:00 AM,Ladakh,22,0,43,43,0
1987,16-05-2020,8:00 AM,Madhya Pradesh,2283,239,4595,4595,0
1988,16-05-2020,8:00 AM,Maharashtra,6564,1068,29100,29090,10
1989,16-05-2020,8:00 AM,Manipur,2,0,3,3,0
1990,16-05-2020,8:00 AM,Meghalaya,11,1,13,13,0
1991,16-05-2020,8:00 AM,Mizoram,1,0,1,1,0
1992,16-05-2020,8:00 AM,Odisha,166,3,672,672,0
1993,16-05-2020,8:00 AM,Puducherry,9,1,13,13,0
1994,16-05-2020,8:00 AM,Punjab,305,32,1935,1935,0
1995,16-05-2020,8:00 AM,Rajasthan,2677,125,4727,4718,9
1996,16-05-2020,8:00 AM,Tamil Nadu,2599,71,10108,10099,9
1997,16-05-2020,8:00 AM,Telengana,959,34,1454,1442,12
1998,16-05-2020,8:00 AM,Tripura,42,0,156,156,0
1999,16-05-2020,8:00 AM,Uttarakhand,51,1,82,73,9
2000,16-05-2020,8:00 AM,Uttar Pradesh,2165,95,4057,4048,9
2001,16-05-2020,8:00 AM,West Bengal,829,225,2461,2461,0
2002,17-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
2003,17-05-2020,8:00 AM,Andhra Pradesh,1353,49,2355,2355,0
2004,17-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
2005,17-05-2020,8:00 AM,Assam,41,2,92,92,0
2006,17-05-2020,8:00 AM,Bihar,453,7,1179,1179,0
2007,17-05-2020,8:00 AM,Chandigarh,51,3,191,191,0
2008,17-05-2020,8:00 AM,Chhattisgarh,56,0,67,67,0
2009,17-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
2010,17-05-2020,8:00 AM,Delhi,3926,129,9333,9319,14
2011,17-05-2020,8:00 AM,Goa,7,0,17,13,4
2012,17-05-2020,8:00 AM,Gujarat,4308,625,10988,10979,9
2013,17-05-2020,8:00 AM,Haryana,514,13,887,871,16
2014,17-05-2020,8:00 AM,Himachal Pradesh,43,3,78,78,0
2015,17-05-2020,8:00 AM,Jammu and Kashmir,542,12,1121,1121,0
2016,17-05-2020,8:00 AM,Jharkhand,113,3,217,217,0
2017,17-05-2020,8:00 AM,Karnataka,496,36,1092,1092,0
2018,17-05-2020,8:00 AM,Kerala,495,4,587,577,10
2019,17-05-2020,8:00 AM,Ladakh,22,0,43,43,0
2020,17-05-2020,8:00 AM,Madhya Pradesh,2315,243,4789,4789,0
2021,17-05-2020,8:00 AM,Maharashtra,7088,1135,30706,30696,10
2022,17-05-2020,8:00 AM,Manipur,2,0,7,7,0
2023,17-05-2020,8:00 AM,Meghalaya,11,1,13,13,0
2024,17-05-2020,8:00 AM,Mizoram,1,0,1,1,0
2025,17-05-2020,8:00 AM,Odisha,196,3,737,737,0
2026,17-05-2020,8:00 AM,Puducherry,9,1,13,13,0
2027,17-05-2020,8:00 AM,Punjab,1257,32,1946,1946,0
2028,17-05-2020,8:00 AM,Rajasthan,2839,126,4960,4951,9
2029,17-05-2020,8:00 AM,Tamil Nadu,3538,74,10585,10576,9
2030,17-05-2020,8:00 AM,Telengana,971,34,1509,1497,12
2031,17-05-2020,8:00 AM,Tripura,64,0,167,167,0
2032,17-05-2020,8:00 AM,Uttarakhand,51,1,88,79,9
2033,17-05-2020,8:00 AM,Uttar Pradesh,2441,104,4258,4249,9
2034,17-05-2020,8:00 AM,West Bengal,872,232,2576,2576,0
2035,18-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
2036,18-05-2020,8:00 AM,Andhra Pradesh,1456,50,2407,2407,0
2037,18-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
2038,18-05-2020,8:00 AM,Assam,41,2,101,101,0
2039,18-05-2020,8:00 AM,Bihar,475,8,1262,1262,0
2040,18-05-2020,8:00 AM,Chandigarh,51,3,191,191,0
2041,18-05-2020,8:00 AM,Chhattisgarh,59,0,86,86,0
2042,18-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
2043,18-05-2020,8:00 AM,Delhi,4485,160,10054,10040,14
2044,18-05-2020,8:00 AM,Goa,7,0,29,25,4
2045,18-05-2020,8:00 AM,Gujarat,4499,659,11379,11370,9
2046,18-05-2020,8:00 AM,Haryana,562,14,910,894,16
2047,18-05-2020,8:00 AM,Himachal Pradesh,44,3,80,80,0
2048,18-05-2020,8:00 AM,Jammu and Kashmir,575,13,1183,1183,0
2049,18-05-2020,8:00 AM,Jharkhand,113,3,223,223,0
2050,18-05-2020,8:00 AM,Karnataka,509,37,1147,1147,0
2051,18-05-2020,8:00 AM,Kerala,497,4,601,591,10
2052,18-05-2020,8:00 AM,Ladakh,24,0,43,43,0
2053,18-05-2020,8:00 AM,Madhya Pradesh,2403,248,4977,4977,0
2054,18-05-2020,8:00 AM,Maharashtra,7688,1198,33053,33043,10
2055,18-05-2020,8:00 AM,Manipur,2,0,7,7,0
2056,18-05-2020,8:00 AM,Meghalaya,11,1,13,13,0
2057,18-05-2020,8:00 AM,Mizoram,1,0,1,1,0
2058,18-05-2020,8:00 AM,Odisha,220,4,828,828,0
2059,18-05-2020,8:00 AM,Puducherry,9,1,13,13,0
2060,18-05-2020,8:00 AM,Punjab,1366,35,1964,1964,0
2061,18-05-2020,8:00 AM,Rajasthan,2992,131,5202,5193,9
2062,18-05-2020,8:00 AM,Tamil Nadu,4172,78,11224,11215,9
2063,18-05-2020,8:00 AM,Telengana,992,34,1551,1539,12
2064,18-05-2020,8:00 AM,Tripura,85,0,167,167,0
2065,18-05-2020,8:00 AM,Uttarakhand,52,1,92,83,9
2066,18-05-2020,8:00 AM,Uttar Pradesh,2441,104,4259,4250,9
2067,18-05-2020,8:00 AM,West Bengal,959,238,2677,2677,0
2068,19-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
2069,19-05-2020,8:00 AM,Andhra Pradesh,1552,50,2474,2474,0
2070,19-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
2071,19-05-2020,8:00 AM,Assam,41,2,107,107,0
2072,19-05-2020,8:00 AM,Bihar,494,9,1391,1391,0
2073,19-05-2020,8:00 AM,Chandigarh,54,3,196,196,0
2074,19-05-2020,8:00 AM,Chhattisgarh,59,0,93,93,0
2075,19-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
2076,19-05-2020,8:00 AM,Delhi,4485,168,10054,10040,14
2077,19-05-2020,8:00 AM,Goa,7,0,38,34,4
2078,19-05-2020,8:00 AM,Gujarat,4804,694,11745,11736,9
2079,19-05-2020,8:00 AM,Haryana,598,14,928,912,16
2080,19-05-2020,8:00 AM,Himachal Pradesh,44,3,90,90,0
2081,19-05-2020,8:00 AM,Jammu and Kashmir,609,15,1289,1289,0
2082,19-05-2020,8:00 AM,Jharkhand,113,3,223,223,0
2083,19-05-2020,8:00 AM,Karnataka,530,37,1246,1246,0
2084,19-05-2020,8:00 AM,Kerala,497,4,630,620,10
2085,19-05-2020,8:00 AM,Ladakh,41,0,43,43,0
2086,19-05-2020,8:00 AM,Madhya Pradesh,2435,252,5236,5236,0
2087,19-05-2020,8:00 AM,Maharashtra,8437,1249,35058,35048,10
2088,19-05-2020,8:00 AM,Manipur,2,0,7,7,0
2089,19-05-2020,8:00 AM,Meghalaya,11,1,13,13,0
2090,19-05-2020,8:00 AM,Mizoram,1,0,1,1,0
2091,19-05-2020,8:00 AM,Odisha,220,4,876,876,0
2092,19-05-2020,8:00 AM,Puducherry,9,1,18,18,0
2093,19-05-2020,8:00 AM,Punjab,1547,37,1980,1980,0
2094,19-05-2020,8:00 AM,Rajasthan,3218,138,5507,5498,9
2095,19-05-2020,8:00 AM,Tamil Nadu,4406,81,11760,11751,9
2096,19-05-2020,8:00 AM,Telengana,1000,35,1597,1585,12
2097,19-05-2020,8:00 AM,Tripura,85,0,167,167,0
2098,19-05-2020,8:00 AM,Uttarakhand,52,1,93,84,9
2099,19-05-2020,8:00 AM,Uttar Pradesh,2783,118,4605,4596,9
2100,19-05-2020,8:00 AM,West Bengal,1006,244,2825,2825,0
2101,20-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
2102,20-05-2020,8:00 AM,Andhra Pradesh,1621,52,2532,2532,0
2103,20-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
2104,20-05-2020,8:00 AM,Assam,41,4,142,142,0
2105,20-05-2020,8:00 AM,Bihar,534,9,1498,1498,0
2106,20-05-2020,8:00 AM,Chandigarh,57,3,200,200,0
2107,20-05-2020,8:00 AM,Chhattisgarh,59,0,101,101,0
2108,20-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
2109,20-05-2020,8:00 AM,Delhi,4750,168,10554,10540,14
2110,20-05-2020,8:00 AM,Goa,7,0,46,42,4
2111,20-05-2020,8:00 AM,Gujarat,5043,719,12140,12131,9
2112,20-05-2020,8:00 AM,Haryana,627,14,964,948,16
2113,20-05-2020,8:00 AM,Himachal Pradesh,47,3,92,92,0
2114,20-05-2020,8:00 AM,Jammu and Kashmir,653,17,1317,1317,0
2115,20-05-2020,8:00 AM,Jharkhand,127,3,231,231,0
2116,20-05-2020,8:00 AM,Karnataka,544,40,1397,1397,0
2117,20-05-2020,8:00 AM,Kerala,497,4,642,632,10
2118,20-05-2020,8:00 AM,Ladakh,43,0,43,43,0
2119,20-05-2020,8:00 AM,Madhya Pradesh,2630,258,5465,5465,0
2120,20-05-2020,8:00 AM,Maharashtra,9639,1325,37136,37126,10
2121,20-05-2020,8:00 AM,Manipur,2,0,9,9,0
2122,20-05-2020,8:00 AM,Meghalaya,12,1,13,13,0
2123,20-05-2020,8:00 AM,Mizoram,1,0,1,1,0
2124,20-05-2020,8:00 AM,Odisha,277,5,978,978,0
2125,20-05-2020,8:00 AM,Puducherry,9,1,18,18,0
2126,20-05-2020,8:00 AM,Punjab,1642,38,2002,2002,0
2127,20-05-2020,8:00 AM,Rajasthan,3337,143,5845,5836,9
2128,20-05-2020,8:00 AM,Tamil Nadu,4895,84,12448,12439,9
2129,20-05-2020,8:00 AM,Telengana,1010,38,1634,1622,12
2130,20-05-2020,8:00 AM,Tripura,116,0,173,173,0
2131,20-05-2020,8:00 AM,Uttarakhand,52,1,111,102,9
2132,20-05-2020,8:00 AM,Uttar Pradesh,2918,123,4926,4917,9
2133,20-05-2020,8:00 AM,West Bengal,1074,250,2961,2961,0
2134,20-05-2020,8:00 AM,Cases being reassigned to states,0,0,1096,1096,0
2135,21-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
2136,21-05-2020,8:00 AM,Andhra Pradesh,1640,53,2602,2602,0
2137,21-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
2138,21-05-2020,8:00 AM,Assam,48,4,170,170,0
2139,21-05-2020,8:00 AM,Bihar,571,10,1674,1674,0
2140,21-05-2020,8:00 AM,Chandigarh,57,3,202,202,0
2141,21-05-2020,8:00 AM,Chhattisgarh,59,0,115,115,0
2142,21-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
2143,21-05-2020,8:00 AM,Delhi,5192,176,11088,11074,14
2144,21-05-2020,8:00 AM,Goa,7,0,50,46,4
2145,21-05-2020,8:00 AM,Gujarat,5219,749,12537,12528,9
2146,21-05-2020,8:00 AM,Haryana,648,14,993,977,16
2147,21-05-2020,8:00 AM,Himachal Pradesh,54,3,110,110,0
2148,21-05-2020,8:00 AM,Jammu and Kashmir,678,18,1390,1390,0
2149,21-05-2020,8:00 AM,Jharkhand,127,3,231,231,0
2150,21-05-2020,8:00 AM,Karnataka,556,41,1462,1462,0
2151,21-05-2020,8:00 AM,Kerala,502,4,666,656,10
2152,21-05-2020,8:00 AM,Ladakh,43,0,44,44,0
2153,21-05-2020,8:00 AM,Madhya Pradesh,2733,267,5735,5735,0
2154,21-05-2020,8:00 AM,Maharashtra,10318,1390,39297,39287,10
2155,21-05-2020,8:00 AM,Manipur,2,0,25,25,0
2156,21-05-2020,8:00 AM,Meghalaya,12,1,14,14,0
2157,21-05-2020,8:00 AM,Mizoram,1,0,1,1,0
2158,21-05-2020,8:00 AM,Odisha,307,6,1052,1052,0
2159,21-05-2020,8:00 AM,Puducherry,9,0,18,20,0
2160,21-05-2020,8:00 AM,Punjab,1794,38,2005,2005,0
2161,21-05-2020,8:00 AM,Rajasthan,3404,147,6015,6006,9
2162,21-05-2020,8:00 AM,Tamil Nadu,5882,87,13191,13182,9
2163,21-05-2020,8:00 AM,Telengana,1015,40,1661,1649,12
2164,21-05-2020,8:00 AM,Tripura,133,0,173,173,0
2165,21-05-2020,8:00 AM,Uttarakhand,53,1,122,113,9
2166,21-05-2020,8:00 AM,Uttar Pradesh,3066,127,5175,5166,9
2167,21-05-2020,8:00 AM,West Bengal,1136,253,3103,3103,0
2168,21-05-2020,8:00 AM,Cases being reassigned to states,0,0,1403,1402,1
2169,22-05-2020,8:00 AM,Andaman and Nicobar Islands,33,0,33,33,0
2170,22-05-2020,8:00 AM,Andhra Pradesh,1709,53,2647,2647,0
2171,22-05-2020,8:00 AM,Arunachal Pradesh,1,0,1,1,0
2172,22-05-2020,8:00 AM,Assam,54,4,203,203,0
2173,22-05-2020,8:00 AM,Bihar,593,11,1982,1982,0
2174,22-05-2020,8:00 AM,Chandigarh,139,3,217,217,0
2175,22-05-2020,8:00 AM,Chhattisgarh,59,0,128,128,0
2176,22-05-2020,8:00 AM,Dadar Nagar Haveli,0,0,1,1,0
2177,22-05-2020,8:00 AM,Delhi,5567,194,11659,11645,14
2178,22-05-2020,8:00 AM,Goa,7,0,52,48,4
2179,22-05-2020,8:00 AM,Gujarat,5488,773,12905,12896,9
2180,22-05-2020,8:00 AM,Haryana,681,15,1031,1015,16
2181,22-05-2020,8:00 AM,Himachal Pradesh,59,3,152,152,0
2182,22-05-2020,8:00 AM,Jammu and Kashmir,684,20,1449,1449,0
2183,22-05-2020,8:00 AM,Jharkhand,129,3,290,290,0
2184,22-05-2020,8:00 AM,Karnataka,571,41,1605,1605,0
2185,22-05-2020,8:00 AM,Kerala,510,4,690,680,10
2186,22-05-2020,8:00 AM,Ladakh,43,0,44,44,0
2187,22-05-2020,8:00 AM,Madhya Pradesh,2843,270,5981,5981,0
2188,22-05-2020,8:00 AM,Maharashtra,11726,1454,41642,41632,10
2189,22-05-2020,8:00 AM,Manipur,2,0,25,25,0
2190,22-05-2020,8:00 AM,Meghalaya,12,1,14,14,0
2191,22-05-2020,8:00 AM,Mizoram,1,0,1,1,0
2192,22-05-2020,8:00 AM,Odisha,393,7,1103,1103,0
2193,22-05-2020,8:00 AM,Puducherry,10,0,20,20,0
